id calibrated_magnitude calibrated_error magnitude_rms_error x y alpha_j2000 delta_j2000 fwhm_world flags magnitude observation_id filter original_filter date user_id device_id target fits_id
223131046 11.5149 0.0132701192051172 0.000699999975040555 1956.06042480469 1565.30590820312 84.640261 -2.737682 0.001368849 2.0 12.1953 43211 R Red 2459264.37661458 7 2 "[5] SigmaOri" 42468
211476444 11.9554 0.0768086910247803 0.00120000005699694 2188.98291015625 2728.40307617188 84.640522 -2.737681 0.000839606 0.0 13.1448 37870 R Red 2459166.58374669 7 2 "[5] SigmaOri" 36765
212468659 12.2028 0.0140993865206838 0.00100000004749745 1994.74353027344 1596.53186035156 84.640317 -2.737681 0.001251821 2.0 12.7444 38117 R Red 2459173.5866088 7 2 "[5] SigmaOri" 36990
216034060 12.5222 0.0176706295460463 0.00270000007003546 2031.51611328125 1594.29919433594 84.640304 -2.737681 0.001004873 0.0 14.0371 39519 R Red 2459196.57428385 7 2 "[5] SigmaOri" 38764
3734168 11.6169 0.0615816824138165 0.000899999984540045 1968.20153808594 1569.80615234375 84.640409 -2.73768 0.00185747 3.0 12.0703 261 I I-Band 2457429.50990548 7 2 "[5] SigmaOri" 243
219034414 12.5080 0.0370718017220497 0.00240000011399388 1895.62976074219 1593.78564453125 84.640308 -2.73768 0.000937758 0.0 13.9180 41476 R Red 2459222.47015542 7 2 "[5] SigmaOri" 40278
212254042 13.8687 0.0205261930823326 0.00600000005215406 2162.076171875 2710.6708984375 84.64047 -2.737677 0.001406677 0.0 15.1302 38082 B Blue 2459172.50780671 7 2 "[5] SigmaOri" 36892
212260069 12.6303 0.0360578373074532 0.0015999999595806 2158.93920898438 2713.48779296875 84.640452 -2.737677 0.001362785 0.0 13.2335 38079 V Visual 2459172.50955874 7 2 "[5] SigmaOri" 36890
226713005 12.5470 0.016702888533473 0.000899999984540045 2010.32458496094 1606.92529296875 84.640332 -2.737677 0.001073817 2.0 12.5625 44637 V Visual 2459280.31252459 7 2 "[5] SigmaOri" 43951
223122763 11.9511 0.0232070926576853 0.00109999999403954 1955.01403808594 1564.69384765625 84.640268 -2.737676 0.001447563 0.0 12.6088 43209 V Visual 2459264.37410446 7 2 "[5] SigmaOri" 42466
151350821 11.7822 0.0630911067128181 0.00230000005103648 1953.65100097656 1584.78588867188 84.640359 -2.737675 0.001440399 0.0 13.9890 20120 I I-Band 2458821.69366567 7 2 "[5] SigmaOri" 22811
211799112 13.5396 0.0286567863076925 0.0100999996066093 2188.92724609375 2708.5 84.640609 -2.737675 0.001559719 0.0 15.7606 37927 B Blue 2459169.52298177 7 2 "[5] SigmaOri" 36801
213340874 11.4026 0.0530590377748013 0.00130000000353903 1972.71716308594 1585.50500488281 84.640349 -2.737675 0.001103556 0.0 13.5132 38245 I I-Band 2459177.5891305 7 2 "[5] SigmaOri" 37100
211483202 11.4394 0.0810183063149452 0.00100000004749745 2192.49926757812 2728.7451171875 84.640486 -2.737674 0.0008150861 0.0 13.4643 37871 I I-Band 2459166.58197627 7 2 "[5] SigmaOri" 36764
211815933 12.3326 0.0355216227471828 0.00260000000707805 2182.873046875 2713.87255859375 84.640617 -2.737674 0.001494972 0.0 13.8198 37926 V Visual 2459169.52827257 7 2 "[5] SigmaOri" 36796
211469115 13.6222 0.0934606716036797 0.00879999995231628 2201.70629882812 2704.12963867188 84.640495 -2.737673 0.0008700065 0.0 16.0706 37869 B Blue 2459166.56510802 7 2 "[5] SigmaOri" 36766
223969500 12.3240 0.0295639391988516 0.00120000005699694 2236.7646484375 2723.71020507812 84.640458 -2.737673 0.001011117 0.0 12.3880 43946 V Visual 2459272.30374421 7 2 "[5] SigmaOri" 42783
223127044 13.0082 0.0282137915492058 0.00370000000111759 1954.30639648438 1566.53662109375 84.640336 -2.737672 0.001521764 0.0 14.3158 43212 B Blue 2459264.37160012 7 2 "[5] SigmaOri" 42469
223556698 11.3152 0.0464737564325333 0.00310000008903444 2184.56469726562 2735.79809570312 84.640509 -2.737672 0.001334854 0.0 13.4107 43683 I I-Band 2459269.30526042 7 2 "[5] SigmaOri" 42604
223553593 12.2414 0.0394674874842167 0.00469999993219972 2183.6767578125 2734.0283203125 84.640475 -2.73767 0.001339775 0.0 13.4578 43682 V Visual 2459269.30888455 7 2 "[5] SigmaOri" 42605
45006746 11.8163 0.00873345788568258 0.00039999998989515 2013.94641113281 1487.44995117188 84.640351 -2.737669 0.00135219 2.0 11.3596 3491 R Red 2458096.57015046 7 2 "[5] SigmaOri" 3313
211489504 12.4514 0.127938136458397 0.00249999994412065 2195.08447265625 2726.4609375 84.640503 -2.737668 0.0007692234 0.0 14.1967 37872 V Visual 2459166.57846788 7 2 "[5] SigmaOri" 36763
219206385 12.9566 0.0341304540634155 0.00270000007003546 2169.115234375 2697.78979492188 84.640532 -2.737668 0.000886159 0.0 14.0687 41518 V Visual 2459224.3804673 7 2 "[5] SigmaOri" 40322
224359796 12.3852 0.0233170930296183 0.00380000006407499 1936.89587402344 1586.654296875 84.640348 -2.737667 0.0009870882 0.0 13.7814 44177 V Visual 2459274.35435648 7 2 "[5] SigmaOri" 42890
216043387 11.8793 0.0412891544401646 0.00270000007003546 2031.05493164062 1592.94091796875 84.640325 -2.737665 0.001125702 0.0 14.2445 39521 I I-Band 2459196.57247251 7 2 "[5] SigmaOri" 38766
220977930 11.4464 0.0270259380340576 0.00109999999403954 1979.40295410156 1579.74243164062 84.640339 -2.737664 0.001436537 2.0 13.0636 42164 I I-Band 2459249.4282672 7 2 "[5] SigmaOri" 41041
213503292 11.4661 0.0544268526136875 0.000899999984540045 2169.84521484375 2718.76513671875 84.640492 -2.737663 0.0009567607 0.0 13.0833 38280 I I-Band 2459178.54347946 7 2 "[5] SigmaOri" 37140
220180135 11.7266 0.0289429388940334 0.0015999999595806 2002.80322265625 1588.48217773438 84.640346 -2.737662 0.0009790197 0.0 13.5692 41960 I I-Band 2459238.44639612 7 2 "[5] SigmaOri" 40749
223976267 11.3888 0.0447104535996914 0.000699999975040555 2238.54052734375 2728.15087890625 84.640513 -2.73766 0.001023681 0.0 12.3634 43945 I I-Band 2459272.30012153 7 2 "[5] SigmaOri" 42784
44998283 11.3114 0.0413051918148994 0.00039999998989515 2015.20324707031 1488.94458007812 84.640389 -2.737659 0.001455305 2.0 11.7829 3490 I I-Band 2458096.57190249 7 2 "[5] SigmaOri" 3312
217242054 13.7661 0.0296229384839535 0.00749999983236194 2147.6767578125 2717.54052734375 84.640498 -2.737659 0.0008582863 0.0 15.8660 38277 B Blue 2459178.57391782 7 2 "[5] SigmaOri" 37145
212474293 12.7570 0.0193569641560316 0.00219999998807907 1994.44702148438 1596.47937011719 84.640338 -2.737657 0.001187151 0.0 13.8134 38118 V Visual 2459173.58836227 7 2 "[5] SigmaOri" 36989
224063859 11.4713 0.0506515093147755 0.00109999999403954 2215.0986328125 2726.45043945312 84.64051 -2.737657 0.0008619747 2.0 13.0939 43973 I I-Band 2459273.30569589 7 2 "[5] SigmaOri" 42798
212463250 14.0191 0.0314973890781403 0.00879999995231628 1992.80541992188 1594.38049316406 84.640464 -2.737656 0.001356593 0.0 15.6753 38116 B Blue 2459173.58307436 7 2 "[5] SigmaOri" 36991
220008572 12.9982 0.0216619782149792 0.00340000004507601 2006.67297363281 1588.31713867188 84.640325 -2.737656 0.001032105 0.0 14.0531 41907 V Visual 2459237.42168113 7 2 "[5] SigmaOri" 40677
227513234 11.4164 0.0535951070487499 0.000699999975040555 1944.30395507812 1580.26708984375 84.640351 -2.737655 0.001079262 0.0 12.6730 44897 I I-Band 2459281.30276331 7 2 "[5] SigmaOri" 44058
355552186 12.8423 0.0172997955232859 0.0020000000949949 1880.99438476562 1523.4521484375 84.640351 -2.737655 0.001253759 0.0 13.6457 60364 R Red 2459555.58369068 7 2 "[5] SigmaOri" 58851
210960923 11.7015 0.0319048427045345 0.00100000004749745 2218.10717773438 2724.03393554688 84.640517 -2.737653 0.0008726838 0.0 13.1508 37720 R Red 2459164.55767072 7 2 "[5] SigmaOri" 36602
